          x_f      vx_f       y_f      vy_f
-4.210509e-03 -0.402781 -0.034628 -3.482918
 4.145323e-02  3.951218 -0.013609 -1.271106
 1.975159e-02  1.735679  0.049235  4.703599
-3.853339e-03 -0.243973 -0.038697 -3.838982
-4.169145e-02 -4.279982 -0.008083 -0.821339
-1.457965e-02 -1.462037 -0.033996 -3.400728
-2.322705e-02 -1.998164  0.049434  3.620659
 1.983437e-02  1.843342  0.043794  3.747395
 5.369978e-02  5.026962 -0.003437 -0.339974
-5.437502e-02 -3.920498 -0.006531 -0.463065
 1.534672e-02  2.019249 -0.015704 -1.940502
-1.227153e-02 -1.371406  0.032868  3.673220
-1.736783e-03 -0.190142 -0.025867 -3.289385
 1.517257e-02  1.516355 -0.049112 -4.653956
 3.273310e-02  3.471296  0.019695  2.238763
 5.712489e-03  0.724181 -0.049036 -4.765299
 4.838817e-03  0.424424 -0.043028 -3.883117
 2.547476e-02  2.649385 -0.029832 -3.069293
-5.347680e-02 -3.660065 -0.027507 -2.250896
-4.722317e-02 -3.089080  0.063708  4.379642
 4.722899e-02  3.152330  0.032872  2.561693
-2.824946e-02 -2.207894 -0.029832 -2.869161
 1.831357e-02  1.894069 -0.025098 -2.742032
 3.882412e-02  2.843507  0.043192  3.401043
 2.343447e-02  2.175241 -0.033780 -3.089626
 6.274486e-04  0.072133 -0.037477 -4.134989
-2.186087e-02 -1.348307 -0.079853 -5.794449
 4.567785e-02  3.881188 -0.012134 -1.053215
-5.305613e-02 -4.218458  0.010421  0.822481
 1.112549e-02  0.929262 -0.037740 -3.868518
-4.006213e-02 -3.979663 -0.012304 -1.332948
-3.866623e-02 -3.950290 -0.024872 -2.552916
 1.806421e-02  1.784749  0.029660  2.863899
 1.613801e-02  1.251449  0.047580  3.709948
 4.517489e-02  4.517890 -0.010794 -1.003891
-3.999808e-02 -3.959604  0.001782  0.172676
 3.618703e-02  3.823428  0.005881  0.599464
-3.003514e-02 -3.343186  0.014070  1.585324
 2.736148e-02  2.647248 -0.030097 -2.806501
 2.005028e-02  2.087040 -0.035412 -3.614097
 4.015197e-02  2.914318 -0.038874 -2.942572
-1.871878e-02 -1.855257  0.035475  3.490554
-2.911081e-02 -2.879623  0.027009  2.525323
-4.927378e-02 -4.474024  0.028013  2.289446
-2.559979e-02 -3.123283 -0.002404 -0.302775
-2.154740e-02 -1.713645 -0.063138 -4.631878
 1.695761e-02  1.652997  0.045789  4.547057
-1.969773e-02 -1.682079  0.047587  3.683697
-5.023927e-02 -4.624119 -0.015504 -1.372448
-1.319621e-02 -1.408350  0.039020  3.607364
-4.330431e-02 -3.771135 -0.037337 -3.235800
-2.113855e-02 -2.237759  0.030690  3.244135
-2.161513e-02 -2.540774  0.025787  3.024445
-5.502516e-02 -4.987071  0.005522  0.613322
-2.930378e-02 -2.815961 -0.029685 -2.985461
 2.948771e-03  0.395234 -0.038624 -3.830078
 5.584495e-02  4.198940  0.015993  0.979852
-5.699561e-02 -4.127836 -0.021137 -1.778960
-1.837708e-02 -1.783848 -0.042005 -3.902656
 3.894415e-02  4.051004 -0.007114 -0.734508
-4.586973e-02 -3.853449 -0.000680 -0.093271
